name                          	abilities.0          	abilities.1         	abilities.2       	abilities.3      	abilities.4      	abilities.5     	description                                                                                                                                                                     	evolution.0                   	evolution.1     	evolution.2     	evolution.3     	gen     	height     	id      	species                   	stats.attack     	stats.defense     	stats.hp     	stats.sp.atk     	stats.sp.def     	stats.speed     	stats.total     	type.0       	type.1       	weight       
Ferroseed                     	Iron Barbs           	                    	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	0.6m       	597     	Thorn Seed Pokemon        	50               	91                	44           	24               	86               	10              	305             	Grass        	Steel        	18.8 kg      
Ferrothorn                    	Iron Barbs           	Anticipation        	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	1m         	598     	Thorn Pod Pokemon         	94               	131               	74           	54               	116              	20              	489             	Grass        	Steel        	110 kg       
Finneon                       	Swift Swim           	Storm Drain         	Water Veil        	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	4       	0.4m       	456     	Wing Fish Pokemon         	49               	56                	49           	49               	61               	66              	330             	Water        	             	7 kg         
Flaaffy                       	Static               	Plus                	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	2       	0.8m       	180     	Wool Pokemon              	55               	55                	70           	80               	60               	45              	365             	Electric     	             	13.3 kg      
Flabebe                       	Flower Veil          	Symbiosis           	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	6       	0.1m       	669     	Single Bloom Pokemon      	38               	39                	44           	61               	79               	42              	303             	Fairy        	             	0.1 kg       
Flareon                       	Flash Fire           	Guts                	                  	                 	                 	                	Inhaled air is carried to its flame sac, heated, and exhaled as fire that reaches over 3,000 degrees F.                                                                         	Vaporeon                      	Jolteon         	Flareon         	Eevee           	1       	0.89m      	136     	Flame Pokemon             	130              	60                	65           	95               	110              	65              	525             	Fire         	             	25.0 kg      
Fletchinder                   	Flame Body           	Gale Wings          	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	6       	0.7m       	662     	Ember Pokemon             	73               	55                	62           	56               	52               	84              	382             	Fire         	Flying       	16 kg        
Fletchling                    	Big Pecks            	Gale Wings          	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	6       	0.3m       	661     	Tiny Robin Pokemon        	50               	43                	45           	40               	38               	62              	278             	Normal       	Flying       	1.7 kg       
Floatzel                      	Swift Swim           	Water Veil          	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	4       	1.1m       	419     	Sea Weasel Pokemon        	105              	55                	85           	85               	50               	115             	495             	Water        	             	33.5 kg      
Floette                       	Flower Veil          	Symbiosis           	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	6       	0.2m       	670     	Fairy Pokemon             	65               	67                	74           	125              	128              	92              	551             	Fairy        	             	0.9 kg       
Florges                       	Flower Veil          	Symbiosis           	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	6       	1.1m       	671     	Garden Pokemon            	65               	68                	78           	112              	154              	75              	552             	Fairy        	             	10 kg        
Flygon                        	Levitate             	                    	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	2m         	330     	Mystic Pokemon            	100              	80                	80           	80               	80               	100             	520             	Ground       	Dragon       	82 kg        
Fomantis                      	Leaf Guard           	Contrary            	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	7       	0.3m       	753     	Sickle Grass Pokemon      	55               	35                	40           	50               	35               	35              	250             	Grass        	             	1.5 kg       
Foongus                       	Effect Spore         	Regenerator         	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	0.2m       	590     	Mushroom Pokemon          	55               	45                	69           	55               	55               	15              	294             	Grass        	Poison       	1 kg         
Forretress                    	Sturdy               	Overcoat            	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	2       	1.2m       	205     	Bagworm Pokemon           	90               	140               	75           	60               	60               	40              	465             	Bug          	Steel        	125.8 kg     
Fraxure                       	Rivalry              	Mold Breaker        	Unnerve           	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	1m         	611     	Axe Jaw Pokemon           	117              	70                	66           	40               	50               	67              	410             	Dragon       	             	36 kg        
Frillish                      	Water Absorb         	Cursed Body         	Damp              	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	1.2m       	592     	Floating Pokemon          	40               	50                	55           	65               	85               	40              	335             	Water        	Ghost        	33 kg        
Froakie                       	Torrent              	Protean             	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	6       	0.3m       	656     	Bubble Frog Pokemon       	56               	40                	41           	62               	44               	71              	314             	Water        	             	7 kg         
Frogadier                     	Torrent              	Protean             	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	6       	0.6m       	657     	Bubble Frog Pokemon       	63               	52                	54           	83               	56               	97              	405             	Water        	             	10.9 kg      
Froslass                      	Snow Cloak           	Cursed Body         	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	4       	1.3m       	478     	Snow Land Pokemon         	80               	70                	70           	80               	70               	110             	480             	Ice          	Ghost        	26.6 kg      
Furfrou                       	Fur Coat             	                    	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	6       	1.2m       	676     	Poodle Pokemon            	80               	60                	75           	65               	90               	102             	472             	Normal       	             	28 kg        
Furret                        	Run Away             	Keen Eye            	Frisk             	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	2       	1.8m       	162     	Long Body Pokemon         	76               	64                	85           	45               	55               	90              	415             	Normal       	             	32.5 kg      
Gabite                        	Sand Veil            	Rough Skin          	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	4       	1.4m       	444     	Cave Pokemon              	90               	65                	68           	50               	55               	82              	410             	Dragon       	Ground       	56 kg        
Gallade                       	Steadfast            	Justified           	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	4       	1.6m       	475     	Blade Pokemon             	165              	95                	68           	65               	115              	110             	618             	Psychic      	Fighting     	52 kg        
Galvantula                    	Compoundeyes         	Unnerve             	Swarm             	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	0.8m       	596     	EleSpider Pokemon         	77               	60                	70           	97               	60               	108             	472             	Bug          	Electric     	14.3 kg      
Garbodor                      	Stench               	Weak Armor          	Aftermath         	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	1.9m       	569     	Trash Heap Pokemon        	95               	82                	80           	60               	82               	75              	474             	Poison       	             	107.3 kg     
Garchomp                      	Sand Veil            	Rough Skin          	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	4       	1.9m       	445     	Mach Pokemon              	170              	115               	108          	120              	95               	92              	700             	Dragon       	Ground       	95 kg        
Gardevoir                     	Synchronize          	Trace               	Telepathy         	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	1.6m       	282     	Embrace Pokemon           	85               	65                	68           	165              	135              	100             	618             	Psychic      	Fairy        	48.4 kg      
Gastly                        	Levitate             	                    	                  	                 	                 	                	Born from gases, anyone would faint if engulfed by its gaseous body, which contains poison.                                                                                     	Gastly                        	Haunter         	Gengar          	                	1       	1.30m      	092     	Gas Pokemon               	35               	30                	30           	100              	35               	80              	310             	Ghost        	Poison       	0.1 kg       
Gastrodon                     	Sticky Hold          	Storm Drain         	Sand Force        	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	4       	0.9m       	423     	Sea Slug Pokemon          	83               	68                	111          	92               	82               	39              	475             	Water        	Ground       	29.9 kg      
Genesect                      	Download             	                    	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	1.5m       	649     	Paleozoic Pokemon         	120              	95                	71           	120              	95               	99              	600             	Bug          	Steel        	82.5 kg      
Gengar                        	Levitate             	                    	                  	                 	                 	                	The leer that floats in darkness belongs to a Gengar delighting in casting curses on people.                                                                                    	Gastly                        	Haunter         	Gengar          	                	1       	1.50m      	094     	Shadow Pokemon            	65               	60                	60           	130              	75               	110             	500             	Ghost        	Poison       	40.5 kg      
Geodude                       	Rock Head            	Sturdy              	Sand Veil         	                 	                 	                	At rest, it looks just like a rock. Carelessly stepping on it will make it swing its fists angrily.                                                                             	Geodude                       	Graveler        	Golem           	                	1       	0.41m      	074     	Rock Pokemon              	80               	100               	40           	30               	30               	20              	300             	Rock         	Ground       	20.0 kg      
Gible                         	Sand Veil            	Rough Skin          	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	4       	0.7m       	443     	Land Shark Pokemon        	70               	45                	58           	40               	45               	42              	300             	Dragon       	Ground       	20.5 kg      
Gigalith                      	Sturdy               	Sand Stream         	Sand Force        	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	1.7m       	526     	Compressed Pokemon        	135              	130               	85           	60               	80               	25              	515             	Rock         	             	260 kg       
Girafarig                     	Inner Focus          	Early Bird          	Sap Sipper        	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	2       	1.5m       	203     	Long Neck Pokemon         	80               	65                	70           	90               	65               	85              	455             	Normal       	Psychic      	41.5 kg      
Giratina                      	Pressure             	Telepathy           	Levitate          	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	4       	4.5m       	487     	Renegade Pokemon          	120              	100               	150          	120              	100              	90              	680             	Ghost        	Dragon       	750 kg       
Glaceon                       	Snow Cloak           	Ice Body            	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	4       	0.8m       	471     	Fresh Snow Pokemon        	60               	110               	65           	130              	95               	65              	525             	Ice          	             	25.9 kg      
Glalie                        	Inner Focus          	Ice Body            	Moody             	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	1.5m       	362     	Face Pokemon              	120              	80                	80           	120              	80               	100             	580             	Ice          	             	256.5 kg     
Glameow                       	Limber               	Own Tempo           	Keen Eye          	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	4       	0.5m       	431     	Catty Pokemon             	55               	42                	49           	42               	37               	85              	310             	Normal       	             	3.9 kg       
Gligar                        	Hyper Cutter         	Sand Veil           	Immunity          	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	2       	1.1m       	207     	Flyscorpion Pokemon       	75               	105               	65           	35               	65               	85              	430             	Ground       	Flying       	64.8 kg      
Gliscor                       	Hyper Cutter         	Sand Veil           	Poison Heal       	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	4       	2m         	472     	Fang Scorp Pokemon        	95               	125               	75           	45               	75               	95              	510             	Ground       	Flying       	42.5 kg      
Gloom                         	Chlorophyll          	Stench              	                  	                 	                 	                	The honey it drools from its mouth smells so atrocious, it can curl noses more than a mile away.                                                                                	Oddish                        	Gloom           	Vileplume       	                	1       	0.79m      	044     	Weed Pokemon              	65               	70                	60           	85               	75               	40              	395             	Grass        	Poison       	8.6 kg       
Gogoat                        	Sap Sipper           	Grass Pelt          	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	6       	1.7m       	673     	Mount Pokemon             	100              	62                	123          	97               	81               	68              	531             	Grass        	             	91 kg        
Golbat                        	Inner Focus          	Infiltrator         	                  	                 	                 	                	Flitting around in the dead of night, it sinks its fangs into its prey and drains a nearly fatal amount of blood.                                                               	Zubat                         	Golbat          	Crobat          	                	1       	1.60m      	042     	Bat Pokemon               	80               	70                	75           	65               	75               	90              	455             	Poison       	Flying       	55.0 kg      
Goldeen                       	Swift Swim           	Water Veil          	Lightning Rod     	                 	                 	                	Though it appears very elegant when swimming with fins unfurled, it can jab powerfully with its horn.                                                                           	Goldeen                       	Seaking         	                	                	1       	0.61m      	118     	Goldfish Pokemon          	67               	60                	45           	35               	50               	63              	320             	Water        	             	15.0 kg      
Golduck                       	Cloud Nine           	Damp                	Swift Swim        	                 	                 	                	When its forehead shines mysteriously, Golduck can use the full extent of its power.                                                                                            	Psyduck                       	Golduck         	                	                	1       	1.70m      	055     	Duck Pokemon              	82               	78                	80           	95               	80               	85              	500             	Water        	             	76.6 kg      
Golem                         	Rock Head            	Sturdy              	Sand Veil         	                 	                 	                	Even dynamite cant harm its hard, boulder-like body. It sheds its hide just once a year.                                                                                        	Geodude                       	Graveler        	Golem           	                	1       	1.40m      	076     	Megaton Pokemon           	120              	130               	80           	55               	65               	45              	495             	Rock         	Ground       	300.0 kg     
Golett                        	Iron Fist            	Klutz               	No Guard          	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	1m         	622     	Automaton Pokemon         	74               	50                	59           	35               	50               	35              	303             	Ground       	Ghost        	92 kg        
Golisopod                     	Emergency Exit       	                    	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	7       	2m         	768     	Hard Scale Pokemon        	125              	140               	75           	60               	90               	40              	530             	Bug          	Water        	108 kg       
Golurk                        	Iron Fist            	Klutz               	No Guard          	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	2.8m       	623     	Automaton Pokemon         	124              	80                	89           	55               	80               	55              	483             	Ground       	Ghost        	330 kg       
Goodra                        	Sap Sipper           	Hydration           	Gooey             	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	6       	2m         	706     	Dragon Pokemon            	100              	70                	90           	110              	150              	80              	600             	Dragon       	             	150.5 kg     
Goomy                         	Sap Sipper           	Hydration           	Gooey             	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	6       	0.3m       	704     	Soft Tissue Pokemon       	50               	35                	45           	55               	75               	40              	300             	Dragon       	             	2.8 kg       
Gorebyss                      	Swift Swim           	Hydration           	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	1.8m       	368     	South Sea Pokemon         	84               	105               	55           	114              	75               	52              	485             	Water        	             	22.6 kg      
Gothita                       	Frisk                	Competitive         	Shadow Tag        	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	0.4m       	574     	Fixation Pokemon          	30               	50                	45           	55               	65               	45              	290             	Psychic      	             	5.8 kg       
Gothitelle                    	Frisk                	Competitive         	Shadow Tag        	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	1.5m       	576     	Astral Body Pokemon       	55               	95                	70           	95               	110              	65              	490             	Psychic      	             	44 kg        
Gothorita                     	Frisk                	Competitive         	Shadow Tag        	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	0.7m       	575     	Manipulate Pokemon        	45               	70                	60           	75               	85               	55              	390             	Psychic      	             	18 kg        
Gourgeist                     	Pickup               	Frisk               	Insomnia          	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	6       	1.7m       	711     	Pumpkin Pokemon           	100              	122               	85           	58               	75               	54              	494             	Ghost        	Grass        	39 kg        
Granbull                      	Intimidate           	Quick Feet          	Rattled           	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	2       	1.4m       	210     	Fairy Pokemon             	120              	75                	90           	60               	60               	45              	450             	Fairy        	             	48.7 kg      
Graveler                      	Rock Head            	Sturdy              	Sand Veil         	                 	                 	                	It rolls on mountain paths to move. Once it builds momentum, no Pokemon can stop it without difficulty.                                                                         	Geodude                       	Graveler        	Golem           	                	1       	0.99m      	075     	Rock Pokemon              	95               	115               	55           	45               	45               	35              	390             	Rock         	Ground       	105.0 kg     
Greninja                      	Torrent              	Protean             	Battle Bond       	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	6       	1.5m       	658     	Ninja Pokemon             	145              	67                	72           	153              	71               	132             	640             	Water        	Dark         	40 kg        
Grimer                        	Stench               	Sticky Hold         	Poison Touch      	                 	                 	                	Born from sludge, these Pokemon now gather in polluted places and increase the bacteria in their bodies.                                                                        	Grimer                        	Muk             	                	                	1       	0.89m      	088     	Sludge Pokemon            	80               	50                	80           	40               	50               	25              	325             	Poison       	             	30.0 kg      
Grotle                        	Overgrow             	Shell Armor         	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	4       	1.1m       	388     	Grove Pokemon             	89               	85                	75           	55               	65               	36              	405             	Grass        	             	97 kg        
Groudon                       	Drought              	                    	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	3.5m       	383     	Continent Pokemon         	180              	160               	100          	150              	90               	90              	770             	Ground       	             	950 kg       
Grovyle                       	Overgrow             	Unburden            	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	0.9m       	253     	Wood Gecko Pokemon        	65               	45                	50           	85               	65               	95              	405             	Grass        	             	21.6 kg      
Growlithe                     	Flash Fire           	Intimidate          	Justified         	                 	                 	                	Extremely loyal to its Trainer, it will bark at those who approach the Trainer unexpectedly and run them out of town.                                                           	Growlithe                     	Arcanine        	                	                	1       	0.71m      	058     	Puppy Pokemon             	70               	45                	55           	70               	50               	60              	350             	Fire         	             	19.0 kg      
Grubbin                       	Swarm                	                    	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	7       	0.4m       	736     	Larva Pokemon             	62               	45                	47           	55               	45               	46              	300             	Bug          	             	4.4 kg       
Grumpig                       	Thick Fat            	Own Tempo           	Gluttony          	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	0.9m       	326     	Manipulate Pokemon        	45               	65                	80           	90               	110              	80              	470             	Psychic      	             	71.5 kg      
Gulpin                        	Liquid Ooze          	Sticky Hold         	Gluttony          	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	3       	0.4m       	316     	Stomach Pokemon           	43               	53                	70           	43               	53               	40              	302             	Poison       	             	10.3 kg      
Gumshoos                      	Stakeout             	Strong Jaw          	Adaptability      	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	7       	0.7m       	735     	Stakeout Pokemon          	110              	60                	88           	55               	60               	45              	418             	Normal       	             	14.2 kg      
Gurdurr                       	Guts                 	Sheer Force         	Iron Fist         	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	5       	1.2m       	533     	Muscular Pokemon          	105              	85                	85           	40               	50               	40              	405             	Fighting     	             	40 kg        
Guzzlord                      	Beast Boost          	                    	                  	                 	                 	                	Description not available yet                                                                                                                                                   	                              	                	                	                	7       	5.5m       	799     	Junkivore Pokemon         	101              	53                	223          	97               	53               	43              	570             	Dark         	Dragon       	888 kg       
